arcade_pc	name	entry	body_min	body_max	instruction_count	callers	callees
0x03B098	FUN_0003b098	0x03B098	0x03B098	0x03B0C0	12	0x03AE86:startup_common_body	0x03C2E2:FUN_0003c2e2,0x03BB48:FUN_0003bb48,0x03A552:FUN_0003a552
0x03B0C2	FUN_0003b0c2	0x03B0C2	0x03B0C2	0x03B0D2	7	0x03AE86:startup_common_body	
0x03B710	FUN_0003b710	0x03B710	0x03B710	0x03B722	7		0x03C2E2:FUN_0003c2e2
0x03B802	pc090oj_sprite_producer_3b802	0x03B802	0x03B802	0x03B864	33	0x03B8B0:FUN_0003b8b0	0x03B866:FUN_0003b866
0x03B866	FUN_0003b866	0x03B866	0x03B866	0x03B87C	9	0x03B802:pc090oj_sprite_producer_3b802	
0x03B8B0	FUN_0003b8b0	0x03B8B0	0x03B8B0	0x03B8EC	17	0x03AE86:startup_common_body	0x03B902:FUN_0003b902,0x03B930:pc090oj_sprite_producer_3b930,0x03B802:pc090oj_sprite_producer_3b802
0x03B902	FUN_0003b902	0x03B902	0x03B902	0x03B924	13	0x03B8B0:FUN_0003b8b0	0x03B930:pc090oj_sprite_producer_3b930
0x03B930	pc090oj_sprite_producer_3b930	0x03B930	0x03B930	0x03B94E	14	0x03B8B0:FUN_0003b8b0,0x03B902:FUN_0003b902	0x05B512:FUN_0005b512
0x03B9F8	FUN_0003b9f8	0x03B9F8	0x03B9F8	0x03BA1E	8	0x03AE86:startup_common_body	0x03BA64:FUN_0003ba64
0x03BA20	FUN_0003ba20	0x03BA20	0x03BA20	0x03BA54	16	0x045D7C:FUN_00045d7c	0x03BA56:FUN_0003ba56
0x03BA56	FUN_0003ba56	0x03BA56	0x03BA56	0x03BA62	4	0x03BA20:FUN_0003ba20	
0x03BA64	FUN_0003ba64	0x03BA64	0x03BA64	0x03BA86	15	0x03B9F8:FUN_0003b9f8	
0x03BB48	FUN_0003bb48	0x03BB48	0x03BB48	0x03BB7A	23	0x03AB7C:warm_restart_gate_caller_a,0x03B098:FUN_0003b098,0x00057C:FUN_0000057c,0x00038E:FUN_0000038e	
0x03BD48	shared_glyph_renderer_3bd48	0x03BD48	0x03BD48	0x000000	0		
0x03C2E2	FUN_0003c2e2	0x03C2E2	0x03C2E2	0x03C37A	52	0x03B098:FUN_0003b098,0x03AC04:FUN_0003ac04,0x03B710:FUN_0003b710	
0x03C516	FUN_0003c516	0x03C516	0x03C516	0x03C54E	19	0x03D054:FUN_0003d054	0x05B512:FUN_0005b512
0x03C606	FUN_0003c606	0x03C606	0x03C606	0x03C634	16	0x03D054:FUN_0003d054	
0x03C6AC	FUN_0003c6ac	0x03C6AC	0x03C6AC	0x03C6DA	16	0x03D054:FUN_0003d054	
0x03C70A	FUN_0003c70a	0x03C70A	0x03C70A	0x03C740	19	0x03D054:FUN_0003d054	0x05B512:FUN_0005b512
0x03C742	FUN_0003c742	0x03C742	0x03C742	0x03C75A	7	0x03D054:FUN_0003d054	
0x03C7D2	FUN_0003c7d2	0x03C7D2	0x03C7D2	0x03C802	17	0x03D054:FUN_0003d054	
0x03C804	FUN_0003c804	0x03C804	0x03C804	0x03C82E	14	0x03D054:FUN_0003d054	
0x03C85E	FUN_0003c85e	0x03C85E	0x03C85E	0x03C898	21	0x03D054:FUN_0003d054	0x03C89A:FUN_0003c89a
0x03C89A	FUN_0003c89a	0x03C89A	0x03C89A	0x03C8BC	11	0x03C85E:FUN_0003c85e	
0x03C8F6	FUN_0003c8f6	0x03C8F6	0x03C8F6	0x03C900	4	0x03C902:FUN_0003c902	
0x03C902	FUN_0003c902	0x03C902	0x03C902	0x03CA34	56	0x03D054:FUN_0003d054,0x03FFDC:FUN_0003ffdc,0x03F0BC:FUN_0003f0bc,0x03FFF0:FUN_0003fff0,0x04770E:FUN_0004770e	0x03C8F6:FUN_0003c8f6,0x03C9E8:FUN_0003c9e8,0x03CA00:FUN_0003ca00,0x03CA12:FUN_0003ca12,0x03C9A6:FUN_0003c9a6
